Symbol,Date,Buy Time,Sell Time,Qty,Buy Price,Sell Price,Gross PnL,Charges,Net PnL,Exit Reason,E_Sig,E_EMA,E_ROC,E_BBW,X_Sig,X_EMA,X_ROC,X_BBW
NIFTY26JAN25100CE,2026-01-27,2026-01-27 13:57:23,2026-01-27 13:57:53,130,29.5,30.95,188.49999999999991,6.99,181.51,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NIFTY26JAN25100CE,2026-01-27,2026-01-27 13:58:42,2026-01-27 13:58:58,130,31.5,28.7,-364.0000000000001,6.96,-370.96,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NIFTY26JAN25100CE,2026-01-27,2026-01-27 13:59:05,2026-01-27 13:59:14,130,31.0,28.4,-338.00000000000017,6.87,-344.87,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NIFTY26JAN25000PE,2026-01-27,2026-01-27 14:01:03,2026-01-27 14:01:07,130,22.6,21.1,-195.0,5.05,-200.05,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NIFTY26JAN25100CE,2026-01-27,2026-01-27 14:01:13,2026-01-27 14:01:18,130,25.55,26.85,169.00000000000009,6.06,162.94,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NIFTY26JAN25150CE,2026-01-27,2026-01-27 14:01:21,2026-01-27 14:01:56,130,11.9,11.0,-117.00000000000004,2.65,-119.65,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NIFTY26JAN25000PE,2026-01-27,2026-01-27 14:02:30,2026-01-27 14:02:36,195,25.5,26.55,204.75000000000014,9.03,195.72,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NIFTY26JAN25000PE,2026-01-27,2026-01-27 14:03:38,2026-01-27 14:03:59,195,25.75,27.45,331.4999999999999,9.23,322.27,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NIFTY26JAN25000PE,2026-01-27,2026-01-27 14:04:24,2026-01-27 14:04:37,130,30.6,31.05,58.49999999999991,7.13,51.37,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NIFTY26JAN25000PE,2026-01-27,2026-01-27 14:04:47,2026-01-27 14:05:08,130,36.2,37.8,207.99999999999926,8.56,199.44,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NIFTY26JAN25000PE,2026-01-27,2026-01-27 14:06:07,2026-01-27 14:06:15,130,41.4,43.25,240.50000000000017,9.79,230.71,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NIFTY26JAN25000PE,2026-01-27,2026-01-27 14:08:28,2026-01-27 14:08:48,130,29.88,27.7,-283.4,6.66,-290.06,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NIFTY26JAN25000PE,2026-01-27,2026-01-27 14:09:06,2026-01-27 14:09:24,130,30.1,27.65,-318.50000000000034,6.68,-325.18,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NIFTY26JAN25000PE,2026-01-27,2026-01-27 14:09:44,2026-01-27 14:10:04,130,31.35,27.75,-468.00000000000017,6.83,-474.83,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
